FlightId,Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
45,c-11,c-18,c-5,1411,CO,ATL,EWR,745,0
46,c-3,c-2,c-3,1023,NW,DTW,DCA,405,0
47,c-12,c-21,c-4,1937,WN,SJC,BUR,296,1
48,c-9,c-22,c-5,942,WN,LAS,PHX,256,0
49,c-12,c-2,c-6,1553,DL,LAX,ATL,1946,1
50,c-12,c-12,c-2,2003,AA,DFW,MEM,432,0
51,c-2,c-2,c-4,1141,NW,MSP,BIL,748,0
52,c-8,c-12,c-5,553,US,DCA,LGA,214,0
53,c-3,c-19,c-6,1945,EV,EVV,CVG,170,0
54,c-4,c-12,c-2,721,NW,MSP,STL,449,0
55,c-11,c-22,c-3,1210,OH,IAD,JFK,228,1
56,c-5,c-28,c-7,1925,UA,DEN,EWR,1605,1
57,c-1,c-19,c-3,1330,NW,FLL,DTW,1127,1
58,c-6,c-19,c-1,1850,OO,EUG,SFO,451,0
59,c-7,c-21,c-4,630,DH,RDU,IAD,224,0
60,c-12,c-2,c-6,1605,US,CLT,BWI,361,0
61,c-8,c-7,c-7,1400,MQ,MKE,ORD,67,0
62,c-11,c-29,c-3,1006,DL,SLC,CVG,1449,1
63,c-1,c-10,c-1,606,TZ,SFO,MDW,1855,0
64,c-4,c-13,c-3,1537,AA,DFW,IND,762,0
65,c-2,c-14,c-2,1700,WN,SAN,PHX,304,0
66,c-4,c-18,c-1,936,AA,LAS,DFW,1055,0
67,c-1,c-9,c-7,611,OO,SGU,SLC,269,0
68,c-10,c-31,c-2,807,FL,IND,TPA,838,0
69,c-7,c-19,c-3,1841,MQ,HSV,DFW,603,0
70,c-9,c-21,c-3,921,XE,EWR,CMH,462,0
71,c-1,c-5,c-3,1420,OH,IAD,JAX,631,0
72,c-10,c-19,c-4,1745,CO,IAH,SNA,1347,0
73,c-10,c-1,c-7,1719,NW,LAX,MKE,1756,0
74,c-1,c-30,c-1,640,DL,GEG,SLC,546,0
75,c-9,c-5,c-2,803,FL,ATL,MDW,590,0
76,c-8,c-27,c-7,1952,CO,EWR,IAH,1400,1
77,c-9,c-18,c-7,930,WN,MCO,SAT,1040,0
78,c-1,c-19,c-4,616,CO,DEN,IAH,861,0
79,c-12,c-11,c-1,1916,OO,ORD,CAK,344,0
80,c-1,c-13,c-4,1409,HA,HNL,SEA,2677,0
81,c-11,c-26,c-7,2043,WN,MDW,STL,251,0
82,c-10,c-22,c-6,835,AA,SAT,DFW,247,0
83,c-12,c-8,c-4,900,WN,MDW,MHT,838,0
84,c-10,c-17,c-1,1035,OH,LAN,CVG,258,0
85,c-6,c-28,c-3,827,AA,LAX,HNL,2556,0
86,c-11,c-29,c-3,2129,XE,CMH,EWR,462,1
87,c-6,c-8,c-4,1609,UA,LAX,SFO,337,0
88,c-5,c-28,c-6,1611,DL,FLL,SLC,2083,0
89,c-4,c-10,c-7,1729,US,CLT,LAX,2125,0
90,c-4,c-27,c-3,719,AA,MIA,IAH,964,0
91,c-9,c-20,c-2,1552,XE,LFT,IAH,201,0
92,c-9,c-27,c-2,1605,NW,PWM,DTW,668,0
93,c-10,c-7,c-6,945,MQ,LGA,CMH,478,0
94,c-4,c-21,c-5,950,OH,CAK,CVG,214,0
95,c-8,c-11,c-5,1337,XE,PWM,EWR,284,0
96,c-7,c-4,c-1,1318,DL,TPA,BDL,1111,0
97,c-7,c-25,c-1,1754,US,CLT,BDL,644,1
98,c-4,c-20,c-4,1751,MQ,ACT,DFW,89,0
99,c-6,c-19,c-1,1352,XE,ROC,EWR,246,1
100,c-7,c-28,c-4,1124,HP,LAS,BOS,2381,0
101,c-11,c-4,c-5,812,DL,ATL,SAV,215,1
102,c-7,c-11,c-2,1812,AA,BOS,ORD,867,1
103,c-4,c-12,c-3,1800,YV,BNA,IAD,542,0
104,c-2,c-14,c-2,1013,YV,TUS,LAS,365,0
105,c-4,c-27,c-3,1107,FL,MCO,ATL,403,0
106,c-12,c-29,c-4,729,US,PHL,PBI,951,0
107,c-7,c-20,c-3,1139,OH,MKE,CVG,318,0
108,c-3,c-28,c-2,1852,NW,MCO,MSP,1310,0
109,c-2,c-26,c-6,1602,HP,PHX,MSY,1301,0
110,c-6,c-30,c-5,2207,EV,ATL,MDT,619,0
111,c-8,c-7,c-7,856,AA,LAX,IAD,2288,0
112,c-6,c-4,c-6,1100,CO,MSY,IAH,305,0
113,c-10,c-16,c-7,756,OO,ORD,LNK,466,0
114,c-3,c-5,c-7,1107,NW,IND,LAS,1591,0
115,c-12,c-19,c-1,915,CO,EWR,EGE,1725,0
116,c-6,c-9,c-5,609,AS,LAX,SEA,954,0
117,c-7,c-6,c-4,1209,NW,PVD,DTW,614,0
118,c-12,c-29,c-4,1619,US,FLL,EYW,145,0
119,c-10,c-13,c-4,937,NW,BUF,DTW,240,0
120,c-1,c-3,c-2,613,OO,EUG,SLC,619,0
121,c-9,c-1,c-4,2208,UA,SFO,IAD,2419,0
122,c-1,c-15,c-6,1602,DL,ATL,TLH,223,0
123,c-7,c-31,c-7,557,AA,STL,DFW,551,0
124,c-1,c-19,c-4,2049,AA,DFW,MCI,460,0
125,c-9,c-17,c-7,1512,DL,ATL,ORF,516,1
126,c-12,c-24,c-6,1106,OO,DEN,GJT,212,0
127,c-1,c-16,c-1,1818,CO,ATL,IAH,689,0
128,c-9,c-5,c-2,1742,AA,DFW,AUS,190,0
129,c-3,c-11,c-6,1727,UA,SFO,SAN,447,0
130,c-5,c-25,c-3,2054,DL,ATL,PDX,2172,0
131,c-2,c-3,c-4,1027,US,MYR,CLT,156,0
132,c-3,c-5,c-7,935,AA,PHL,SJU,1576,0
133,c-7,c-10,c-7,1628,F9,DEN,DCA,1476,0
134,c-1,c-27,c-5,2007,CO,PBI,EWR,1024,0
135,c-8,c-18,c-5,1213,MQ,ORD,SGF,438,0
136,c-1,c-31,c-1,2019,MQ,ORD,SYR,607,0
137,c-8,c-11,c-4,1119,UA,DEN,PHX,602,0
138,c-6,c-7,c-2,1053,MQ,ORD,MSN,109,0
139,c-9,c-12,c-2,902,AQ,SNA,OGG,2513,0
140,c-11,c-11,c-5,1459,UA,ORD,DCA,612,0
141,c-6,c-2,c-5,1235,EV,GNV,ATL,300,1
142,c-5,c-20,c-5,13,B6,PDX,JFK,2454,0
143,c-2,c-25,c-5,1927,CO,CLE,FLL,1062,1
144,c-1,c-6,c-4,2030,FL,ATL,ROC,749,1
145,c-2,c-26,c-6,1440,MQ,HOU,DFW,247,0
146,c-1,c-8,c-7,1820,OH,SDF,CVG,83,0
147,c-12,c-14,c-3,1140,DL,ATL,PHL,665,0
148,c-5,c-26,c-5,1325,UA,ORD,BUF,473,0
149,c-9,c-17,c-7,1321,MQ,ORD,ORF,717,0
150,c-9,c-23,c-5,1507,DH,IAD,CMH,299,0
151,c-6,c-18,c-7,1130,B6,MCO,EWR,938,0
152,c-1,c-21,c-5,920,EV,DFW,MEM,432,0
153,c-4,c-18,c-2,1159,UA,ORD,SFO,1846,0
154,c-4,c-7,c-4,1000,US,CLT,LAX,2125,0
155,c-7,c-19,c-3,2118,WN,BWI,PHX,1999,1
156,c-8,c-29,c-1,1408,AA,DFW,BOS,1562,1
157,c-2,c-26,c-6,600,EV,CAE,ATL,191,0
158,c-7,c-28,c-5,1319,US,PHX,LAX,370,0
159,c-5,c-6,c-5,924,CO,IAH,ONT,1334,0
160,c-6,c-4,c-7,1308,CO,ATL,EWR,745,1
161,c-10,c-21,c-6,1015,UA,DEN,IAD,1452,0
162,c-7,c-1,c-5,1845,XE,IAH,DAL,217,1
163,c-5,c-16,c-1,1448,OO,BFL,LAX,109,0
164,c-2,c-12,c-6,1859,DL,FLL,ATL,581,0
165,c-3,c-10,c-5,1254,EV,ATL,DAY,432,0
166,c-10,c-31,c-2,1639,CO,EWR,PHX,2133,0
167,c-8,c-29,c-2,556,OO,FSD,ORD,462,0
168,c-7,c-24,c-1,955,MQ,ABI,DFW,158,0
169,c-11,c-2,c-3,1657,AA,ORD,DEN,888,0
170,c-11,c-27,c-1,1350,UA,BOS,IAD,413,0
171,c-10,c-5,c-3,543,MQ,LBB,DFW,282,0
172,c-2,c-13,c-7,1845,FL,BWI,MCO,787,0
173,c-5,c-27,c-5,1800,AA,MIA,SFO,2585,0
174,c-4,c-7,c-5,815,WN,OAK,SAN,446,0
175,c-1,c-25,c-2,1647,AA,AUS,HOU,148,1
176,c-10,c-18,c-3,1104,MQ,BTR,DFW,383,0
177,c-10,c-9,c-1,1010,UA,ORD,SMF,1781,0
178,c-7,c-8,c-6,1221,AA,SFO,MIA,2585,0
179,c-4,c-1,c-5,1350,DL,TUS,ATL,1541,1
180,c-1,c-4,c-3,1313,B6,OAK,JFK,2576,0
181,c-9,c-4,c-1,853,YV,PHX,DSM,1149,0
182,c-7,c-2,c-7,1844,DL,ATL,RSW,515,0
183,c-10,c-22,c-6,730,XE,IAH,IND,845,0
184,c-1,c-29,c-7,2020,WN,MDW,BWI,611,1
185,c-5,c-15,c-1,1759,CO,PIT,IAH,1117,0
186,c-1,c-8,c-7,1819,B6,EWR,PBI,1024,1
187,c-10,c-27,c-5,1455,OH,CVG,BHM,396,1
188,c-1,c-21,c-5,1528,AA,LGA,DFW,1389,0
189,c-4,c-24,c-1,1919,NW,MDW,MSP,349,0
190,c-8,c-22,c-1,1646,OH,CVG,MSN,373,1
191,c-3,c-11,c-6,600,EV,FLO,ATL,273,0
192,c-5,c-3,c-2,1610,MQ,SDF,ORD,286,0
193,c-12,c-16,c-5,1735,HP,IAH,PHX,1009,0
194,c-4,c-22,c-5,2032,CO,EWR,MHT,209,0
195,c-3,c-20,c-1,1333,AA,MIA,LGA,1097,0
196,c-3,c-17,c-5,729,US,ATL,DCA,547,0
197,c-4,c-19,c-3,1035,AA,ORD,SJU,2072,0
198,c-8,c-29,c-1,1553,XE,IAH,LCH,127,0
199,c-1,c-12,c-4,1930,YV,BOS,IAD,413,1
200,c-12,c-27,c-2,1835,NW,PHX,MSP,1276,0
201,c-6,c-23,c-5,2009,WN,MCO,RDU,534,1
202,c-12,c-18,c-1,857,FL,MSP,ATL,906,0
203,c-5,c-11,c-3,1716,TZ,MDW,EWR,711,0
204,c-9,c-11,c-7,2042,MQ,DFW,MAF,309,1
205,c-2,c-19,c-6,2211,DL,FLL,LGA,1076,1
206,c-7,c-8,c-5,1528,NW,MSP,MCI,393,0
207,c-1,c-4,c-3,1245,AA,SFO,ORD,1846,1
208,c-1,c-28,c-6,1357,AA,LAX,DFW,1235,0
209,c-5,c-24,c-2,1855,WN,PHX,MSY,1301,0
210,c-8,c-23,c-2,1831,NW,MEM,LGA,963,0
211,c-12,c-23,c-6,800,DL,DFW,ATL,732,0
212,c-9,c-7,c-4,616,CO,CMH,IAH,986,0
213,c-5,c-19,c-4,1758,US,CLT,MYR,156,0
214,c-9,c-13,c-3,2004,OO,LAX,SNA,36,0
215,c-7,c-29,c-6,1043,AA,MCO,DFW,984,0
216,c-7,c-25,c-1,1713,WN,PHX,LAX,370,0
217,c-7,c-11,c-2,1937,WN,BDL,TPA,1111,1
218,c-4,c-19,c-3,846,XE,EWR,TUL,1215,0
219,c-10,c-12,c-3,1308,DL,ONT,SLC,558,0
220,c-12,c-14,c-4,2230,NW,MSP,GRB,252,0
221,c-7,c-12,c-3,1154,MQ,DFW,MAF,309,0
222,c-7,c-8,c-5,900,WN,LAX,OAK,337,0
223,c-5,c-2,c-2,1210,CO,LAX,CLE,2053,1
224,c-5,c-4,c-3,812,DL,LAX,HNL,2556,0
225,c-7,c-24,c-7,1554,OO,SAN,LAX,109,0
226,c-3,c-20,c-7,2235,DL,ONT,ATL,1900,0
227,c-2,c-13,c-7,1809,DL,ATL,SAV,215,0
228,c-4,c-18,c-2,514,MQ,BGR,BOS,201,0
229,c-1,c-30,c-7,1350,OO,SBA,LAX,89,0
230,c-2,c-7,c-2,1448,WN,AUS,DAL,189,0
231,c-5,c-14,c-7,1306,UA,ORD,RIC,642,0
232,c-7,c-26,c-2,1836,MQ,DFW,ACT,89,0
233,c-8,c-8,c-1,744,MQ,ORD,MSN,109,0
234,c-11,c-26,c-6,1247,CO,MYR,EWR,550,0
235,c-6,c-2,c-5,1804,EV,ATL,EVV,350,1
236,c-9,c-24,c-7,1820,AS,SEA,BUR,937,0
237,c-3,c-1,c-2,1326,AA,MCO,ORD,1005,1
238,c-10,c-29,c-7,1845,B6,JFK,PWM,274,1
239,c-1,c-26,c-3,1550,OH,GRB,CVG,416,0
240,c-1,c-28,c-6,1850,WN,PBI,ISP,1052,0
241,c-6,c-6,c-1,605,OO,COS,ORD,911,0
242,c-3,c-17,c-4,1253,XE,DEN,CLE,1201,0
243,c-8,c-21,c-1,1742,MQ,ORD,HSV,510,1
244,c-4,c-5,c-2,1318,AA,STL,DCA,719,0
245,c-10,c-29,c-6,535,OO,FAT,LAX,209,0
246,c-1,c-27,c-4,1318,WN,STL,MCI,237,0
247,c-5,c-6,c-6,810,WN,BWI,TPA,842,0
248,c-4,c-22,c-6,1231,CO,SJU,EWR,1608,0
249,c-1,c-17,c-2,1858,OO,LAX,COS,833,0
250,c-4,c-4,c-1,1325,EV,ATL,LIT,453,0
251,c-2,c-28,c-2,1812,NW,LAS,DTW,1750,0
252,c-5,c-2,c-1,1927,EV,ATL,TRI,227,1
253,c-8,c-3,c-4,648,UA,ORD,EWR,719,0
254,c-4,c-1,c-5,2143,NW,DTW,MCO,957,1
255,c-11,c-16,c-3,709,AA,JFK,SJU,1597,0
256,c-11,c-9,c-4,1026,OO,SLC,XNA,1004,1
257,c-3,c-15,c-2,1254,EV,TRI,ATL,227,0
258,c-12,c-28,c-4,1558,AA,STT,BOS,1693,0
259,c-1,c-10,c-1,934,OO,BOI,DEN,649,0
260,c-3,c-26,c-6,1615,UA,SFO,SEA,679,0
261,c-4,c-13,c-3,712,EV,ATL,PHF,508,0
262,c-9,c-25,c-1,1009,YV,PIT,IAD,183,1
263,c-1,c-7,c-6,1443,XE,GSO,IAH,986,0
264,c-3,c-20,c-1,1632,XE,BNA,IAH,657,1
265,c-2,c-23,c-3,633,DH,IAD,CLT,321,0
266,c-2,c-12,c-6,1213,OO,ELP,SLC,693,0
267,c-3,c-30,c-3,2159,B6,MCO,JFK,944,1
268,c-5,c-26,c-4,950,WN,SJC,SNA,342,0
269,c-8,c-1,c-1,1640,WN,BDL,BWI,283,1
270,c-8,c-17,c-4,2155,WN,ONT,PHX,325,1
271,c-6,c-30,c-4,635,EV,DSM,ATL,743,0
272,c-12,c-28,c-3,1037,OH,LGA,GSP,610,0
273,c-8,c-30,c-2,1801,UA,IAD,SJC,2400,0
274,c-2,c-18,c-6,1925,WN,LAX,RNO,390,1
275,c-3,c-18,c-5,922,US,BOS,PHL,280,0
276,c-10,c-8,c-6,1716,NW,MSP,SAN,1532,0
277,c-4,c-1,c-5,1340,WN,SMF,SAN,480,0
278,c-7,c-12,c-2,1742,OH,CVG,LGA,585,0
279,c-10,c-5,c-4,2037,B6,LGB,OAK,353,1
280,c-1,c-11,c-3,1055,MQ,CLT,ORD,599,1
281,c-8,c-1,c-1,1654,F9,DEN,LGA,1619,0
282,c-5,c-11,c-3,900,OO,ORD,BHM,584,0
283,c-5,c-7,c-7,1857,CO,IAH,LGA,1416,0
284,c-4,c-25,c-1,1223,DL,ELP,ATL,1282,0
285,c-9,c-4,c-7,1959,AA,MCO,MIA,193,0
286,c-2,c-28,c-1,1155,XE,IAH,OKC,395,1
287,c-8,c-5,c-6,46,AS,ANC,LAX,2345,0
288,c-8,c-8,c-1,2250,B6,OAK,IAD,2408,0
289,c-8,c-2,c-2,2251,NW,DTW,BUF,240,1
290,c-8,c-7,c-7,1825,CO,IAH,SAN,1303,1
291,c-6,c-17,c-6,1202,DL,DFW,CVG,812,0
292,c-8,c-26,c-6,2025,TZ,OGG,PHX,2845,0
293,c-5,c-27,c-5,837,UA,DEN,MCO,1545,0
294,c-7,c-9,c-6,1447,OH,CVG,AUS,958,1
295,c-12,c-21,c-3,2027,FL,PBI,ATL,545,0
296,c-10,c-25,c-2,1815,WN,TPA,BDL,1111,0
297,c-3,c-18,c-5,710,EV,STL,SLC,1156,0
298,c-12,c-23,c-6,2125,WN,BWI,BUF,281,1
299,c-5,c-17,c-3,1316,B6,JFK,MCO,944,0
300,c-11,c-18,c-5,1337,OO,LAX,SBA,89,0
301,c-9,c-2,c-6,645,WN,FLL,MSY,673,0
302,c-6,c-28,c-2,1115,UA,TPA,ORD,1012,1
303,c-12,c-18,c-1,1906,OO,CPR,DEN,230,1
304,c-8,c-27,c-7,1755,OH,JAX,BOS,1011,0
305,c-4,c-7,c-4,2016,NW,DTW,AZO,113,1
306,c-6,c-5,c-7,610,XE,ORF,IAH,1201,0
307,c-10,c-23,c-1,1239,US,LAX,PHX,370,0
308,c-10,c-17,c-1,1945,WN,SJC,BUR,296,0
309,c-2,c-5,c-6,754,AA,MIA,DTW,1145,0
310,c-2,c-13,c-1,1216,DL,SFO,ATL,2139,0
311,c-8,c-20,c-7,1454,OO,BOI,SLC,291,0
312,c-9,c-5,c-1,734,DL,EWR,SLC,1968,0
313,c-7,c-14,c-4,920,WN,SNA,OAK,371,0
314,c-12,c-8,c-4,751,UA,JFK,SFO,2586,0
315,c-7,c-15,c-5,2052,HP,SAN,LAS,258,1
316,c-10,c-29,c-7,2019,WN,PHX,SAT,843,0
317,c-6,c-20,c-1,1453,CO,LGA,IAH,1416,0
318,c-1,c-18,c-3,1237,EV,FLO,ATL,273,0
319,c-12,c-25,c-1,2008,OO,BUR,SFO,326,0
320,c-10,c-4,c-2,2025,WN,MDW,MCO,989,1
321,c-3,c-3,c-5,1505,NW,MSP,PHL,980,0
322,c-6,c-2,c-4,2124,DL,ATL,BHM,134,1
323,c-3,c-26,c-6,928,NW,MSP,PSP,1454,0
324,c-1,c-27,c-5,920,WN,PVD,LAS,2363,1
325,c-5,c-7,c-6,527,EV,HSV,ATL,151,0
326,c-11,c-9,c-3,1941,MQ,ORD,SGF,438,1
327,c-8,c-18,c-5,1958,EV,ATL,APF,540,0
328,c-6,c-19,c-7,1421,DL,CMH,CVG,116,0
329,c-5,c-7,c-7,1354,US,SFO,LAS,414,0
330,c-6,c-5,c-7,1232,XE,CLE,BOS,563,0
331,c-10,c-11,c-2,1604,XE,IAH,JAX,817,0
332,c-10,c-23,c-1,1535,AA,SFO,JFK,2586,0
333,c-8,c-12,c-6,1901,MQ,JFK,RDU,426,0
334,c-4,c-17,c-1,1750,WN,MDW,DTW,229,0
335,c-12,c-14,c-3,712,EV,GRR,ATL,640,0
336,c-7,c-30,c-7,1115,US,PDX,PHX,1009,0
337,c-4,c-21,c-5,1048,NW,MSP,MEM,700,1
338,c-11,c-6,c-7,1321,UA,SEA,ORD,1721,0
339,c-1,c-9,c-7,904,UA,ORD,DEN,888,0
340,c-10,c-31,c-1,526,US,BOS,PHL,280,0
341,c-3,c-24,c-5,1020,OH,LGA,GSP,610,0
342,c-12,c-5,c-1,829,DH,IAD,SAV,515,0
343,c-9,c-30,c-6,1645,WN,BHM,JAX,365,1
344,c-2,c-26,c-6,622,US,PWM,DCA,482,1
345,c-9,c-5,c-1,1540,MQ,DFW,JAN,408,0
346,c-7,c-7,c-5,2111,US,SNA,LAS,226,0
347,c-9,c-8,c-4,2020,OH,ORF,ATL,516,0
348,c-5,c-12,c-4,1654,NW,MSP,DFW,852,0
349,c-9,c-1,c-5,2041,WN,BNA,JAX,484,1
350,c-12,c-14,c-3,918,WN,LAX,MDW,1750,0
351,c-3,c-28,c-1,1452,US,RSW,PIT,966,0
352,c-4,c-7,c-4,919,MQ,DFW,GGG,140,0
353,c-5,c-30,c-1,1227,TZ,MSP,MDW,349,0
354,c-9,c-5,c-2,1156,WN,ONT,PHX,325,1
355,c-8,c-14,c-1,913,NW,DTW,FLL,1127,0
356,c-9,c-15,c-4,1352,UA,SFO,DEN,967,1
357,c-8,c-31,c-4,1824,FL,BOS,BWI,370,0
358,c-10,c-8,c-6,1114,US,CLT,ORF,290,0
359,c-5,c-31,c-3,758,WN,MCO,BWI,787,0
360,c-9,c-6,c-2,1839,DL,SLC,SEA,689,0
361,c-5,c-27,c-5,638,US,MCI,PHL,1038,0
362,c-12,c-10,c-7,1930,WN,SAN,OAK,446,0
363,c-10,c-15,c-7,2245,OO,LAX,BFL,109,0
364,c-3,c-1,c-2,720,US,ROC,CLT,573,1
365,c-7,c-6,c-3,858,DL,PHX,ATL,1587,0
366,c-8,c-29,c-1,1245,WN,HOU,AUS,148,0
367,c-10,c-16,c-7,1905,DL,JFK,SEA,2421,0
368,c-5,c-18,c-3,1458,AA,SJU,JFK,1597,0
369,c-5,c-12,c-4,807,DL,EWR,ATL,745,0
370,c-7,c-31,c-7,1755,MQ,LAX,SAN,109,0
371,c-9,c-5,c-1,1800,DL,LGA,ATL,761,0
372,c-6,c-15,c-4,619,AA,BWI,DFW,1217,0
373,c-1,c-4,c-3,1855,YV,LAS,BUR,223,0
374,c-1,c-18,c-2,845,NW,ABQ,MSP,981,0
375,c-3,c-3,c-4,1530,AS,PDX,SJC,569,0
376,c-2,c-10,c-4,1251,OO,OAK,LAX,337,0
377,c-10,c-29,c-6,1500,OH,CVG,PFN,612,0
378,c-12,c-28,c-3,1434,AA,DFW,SAT,247,0
379,c-5,c-6,c-5,2108,FL,ATL,IAD,533,0
380,c-9,c-30,c-5,1609,MQ,FWA,ORD,157,0
381,c-2,c-16,c-3,2124,AA,BOS,ORD,867,1
382,c-10,c-3,c-2,655,YV,IAH,CLT,913,0
383,c-4,c-17,c-7,909,HP,PHX,JFK,2153,0
384,c-9,c-23,c-5,827,DH,IAD,TYS,419,0
385,c-7,c-2,c-6,1643,F9,DTW,DEN,1123,1
386,c-9,c-5,c-1,1120,WN,SMF,SNA,404,0
387,c-6,c-21,c-3,2202,UA,DEN,SNA,846,1
388,c-8,c-9,c-3,1726,US,MCO,PHX,1848,0
389,c-1,c-1,c-6,1004,AA,AUS,DFW,190,0
390,c-11,c-21,c-2,623,NW,GRR,DTW,120,0
391,c-12,c-21,c-4,607,NW,RDU,DTW,501,0
392,c-9,c-3,c-7,902,MQ,ORD,XNA,522,0
393,c-3,c-7,c-2,1239,AS,DLG,ANC,329,0
394,c-6,c-12,c-1,2119,OO,DEN,ICT,419,0
395,c-11,c-13,c-1,1659,YV,GRB,ORD,174,1
396,c-9,c-21,c-4,1825,OH,GSO,CVG,330,0
397,c-5,c-22,c-7,1354,DL,ATL,DAB,366,0
398,c-5,c-4,c-3,803,AA,STL,TPA,869,0
399,c-4,c-26,c-3,1452,MQ,IAD,ORD,589,0
400,c-1,c-20,c-5,1215,OH,SCE,CVG,383,0
401,c-1,c-23,c-1,1137,XE,MCI,CLE,694,0
402,c-8,c-1,c-1,2035,EV,CSG,ATL,83,0
403,c-1,c-15,c-7,748,MQ,SGF,DFW,364,0
404,c-9,c-15,c-5,1007,WN,LIT,MDW,544,0
405,c-5,c-16,c-1,1729,DL,DTW,SLC,1481,0
406,c-9,c-26,c-1,2102,AA,ORD,MSP,334,0
407,c-11,c-24,c-4,931,B6,JFK,PBI,1028,0
408,c-9,c-30,c-5,1840,WN,MCO,ALB,1073,0
409,c-5,c-2,c-1,838,OO,LAX,ONT,47,0
410,c-4,c-25,c-1,1123,NW,STL,MEM,256,0
411,c-12,c-8,c-4,955,MQ,LGA,RDU,431,0
412,c-11,c-15,c-3,1220,HA,OGG,HNL,100,0
413,c-8,c-11,c-5,1409,US,SJU,CLT,1474,0
414,c-12,c-2,c-5,2333,UA,LGA,ORD,733,1
415,c-4,c-15,c-5,1920,OH,JFK,SAV,718,0
416,c-8,c-7,c-7,1030,WN,DTW,MDW,229,0
417,c-11,c-9,c-3,1556,XE,SHV,IAH,192,0
418,c-8,c-4,c-4,1351,MQ,DFW,LAW,140,0
419,c-11,c-27,c-7,1045,OH,CVG,PWM,810,0
420,c-12,c-16,c-6,919,WN,SAN,SJC,417,0
421,c-6,c-16,c-4,1915,AA,DFW,SEA,1660,1
422,c-6,c-21,c-3,841,WN,SJC,SEA,697,0
423,c-1,c-29,c-6,859,XE,EWR,DAB,884,0
424,c-8,c-20,c-6,555,AS,SIT,JNU,95,0
425,c-7,c-25,c-1,2255,AA,OGG,SFO,2338,0
426,c-6,c-17,c-5,953,MQ,CMH,ORD,296,0
427,c-9,c-19,c-1,1937,HP,PHX,LAS,256,0
428,c-3,c-14,c-2,1033,OH,CVG,GSO,330,0
429,c-12,c-22,c-5,1733,UA,ORD,DCA,612,1
430,c-8,c-13,c-7,907,AA,SAN,DFW,1171,0
431,c-1,c-2,c-7,1448,MQ,RST,ORD,268,0
432,c-7,c-1,c-6,1307,AA,SFO,STL,1736,1
